Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP1999.055.0281,MISC.DPP.99-192,TMP,BB058,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1999,Skull element,,Evans et al. 2013
TMP1993.036.0095,DHT/BB61/1/7/93-2,TMP,BB061,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1993,Dorsal vertebra,,Evans et al. 2013
TMP1997.012.0194,DHT/MISC DPP/1997.13,TMP,BB065,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1997,Vertebra,,Evans et al. 2013
TMP1999.055.0304,,TMP,BB074,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1999,Skull element,ex situ,Evans et al. 2013
TMP2010.012.0069,,TMP,BB075,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,2010,Skull element,,Evans et al. 2013
TMP1986.036.0392,,TMP,BB087,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1986,Skull element,ex situ,Evans et al. 2013
TMP2007.012.0028,,TMP,BB097,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,2007,Vertebra,,Evans et al. 2013
TMP1982.020.0041,,TMP,BB102,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1982,Skull element,,Evans et al. 2013
TMP1982.020.0467,,TMP,BB102,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1982,Skull element,,Evans et al. 2013
TMP1983.036.0013,,TMP,BB102,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1983,Skull element,ex situ,Evans et al. 2013
TMP1989.084.0042,,TMP,BB102,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1989,Skull element,ex situ,Evans et al. 2013
TMP1992.036.0649,,TMP,BB123,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1992,Femur in situ,in situ,
TMP2003.012.0099,DPP.DB.2003.5,TMP,BB190,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,2003,Skull element,ex situ,Evans et al. 2013
